name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
Amy Klobuchar,"Klobuchar, Amy",,SenAmyKlobuchar,,Democrat,democrat,ocd-division/country:us/state:mn,Minnesota,Senate,116,,,https://theunitedstates.io/images/congress/original/K000367.jpg,female,Q22237,Q29552,Q1527
"Angus S. King, Jr.","King, Angus",,SenAngusKing,SenatorAngusSKingJr,Independent,independent,ocd-division/country:us/state:me,Maine,Senate,116,,,https://theunitedstates.io/images/congress/original/K000383.jpg,male,Q544464,Q327591,Q724
Ben Sasse,"Sasse, Benjamin",,SenSasse,SenatorSasse,Republican,republican,ocd-division/country:us/state:ne,Nebraska,Senate,116,,,https://theunitedstates.io/images/congress/original/S001197.jpg,male,Q16192221,Q29468,Q1553
Benjamin L. Cardin,"Cardin, Benjamin",,SenatorCardin,senatorbencardin,Democrat,democrat,ocd-division/country:us/state:md,Maryland,Senate,116,,,https://theunitedstates.io/images/congress/original/C000141.jpg,male,Q723295,Q29552,Q1391
Bernard Sanders,"Sanders, Bernard",,SenSanders,senatorsanders,Independent,independent,ocd-division/country:us/state:vt,Vermont,Senate,116,,,https://theunitedstates.io/images/congress/original/S000033.jpg,male,Q359442,Q327591,Q16551
Bill Cassidy,"Cassidy, Bill",,SenBillCassidy,,Republican,republican,ocd-division/country:us/state:la,Louisiana,Senate,116,,,https://theunitedstates.io/images/congress/original/C001075.jpg,male,Q861999,Q29468,Q1588
Brian Schatz,"Schatz, Brian",,SenBrianSchatz,SenBrianSchatz,Democrat,democrat,ocd-division/country:us/state:hi,Hawaii,Senate,116,,,https://theunitedstates.io/images/congress/original/S001194.jpg,male,Q1827902,Q29552,Q782
Catherine Cortez Masto,"Cortez Masto, Catherine",,sencortezmasto,SenatorCortezMasto,Democrat,democrat,ocd-division/country:us/state:nv,Nevada,Senate,116,,,https://theunitedstates.io/images/congress/original/C001113.jpg,female,Q5052604,Q29552,Q1227
Charles E. Schumer,"Schumer, Charles",,SenSchumer,senschumer,Democrat,democrat,ocd-division/country:us/state:ny,New York,Senate,116,,,https://theunitedstates.io/images/congress/original/S000148.jpg,male,Q380900,Q29552,Q1384
Chris Van Hollen,"Van Hollen, Chris",,ChrisVanHollen,chrisvanhollen,Democrat,democrat,ocd-division/country:us/state:md,Maryland,Senate,116,,,https://theunitedstates.io/images/congress/original/V000128.jpg,male,Q1077819,Q29552,Q1391
Christopher A. Coons,"Coons, Chris",,ChrisCoons,senatorchriscoons,Democrat,democrat,ocd-division/country:us/state:de,Delaware,Senate,116,,,https://theunitedstates.io/images/congress/original/C001088.jpg,male,Q923242,Q29552,Q1393
Christopher Murphy,"Murphy, Christopher",,senmurphyoffice,chrismurphyct,Democrat,democrat,ocd-division/country:us/state:ct,Connecticut,Senate,116,,,https://theunitedstates.io/images/congress/original/M001169.jpg,male,Q1077594,Q29552,Q779
Chuck Grassley,"Grassley, Charles",,ChuckGrassley,grassley,Republican,republican,ocd-division/country:us/state:ia,Iowa,Senate,116,,,https://theunitedstates.io/images/congress/original/G000386.jpg,male,Q529294,Q29468,Q1546
Cindy Hyde-Smith,"Hyde-Smith, Cindy",,SenHydeSmith,,Republican,republican,ocd-division/country:us/state:ms,Mississippi,Senate,116,,,https://theunitedstates.io/images/congress/original/H001079.jpg,female,Q5120540,Q29468,Q1494
Cory A. Booker,"Booker, Cory",,SenBooker,,Democrat,democrat,ocd-division/country:us/state:nj,New Jersey,Senate,116,,,https://theunitedstates.io/images/congress/original/B001288.jpg,male,Q1135767,Q29552,Q1408
Cory Gardner,"Gardner, Cory",,SenCoryGardner,SenCoryGardner,Republican,republican,ocd-division/country:us/state:co,Colorado,Senate,116,,,https://theunitedstates.io/images/congress/original/G000562.jpg,male,Q1135774,Q29468,Q1261
Dan Sullivan,"Sullivan, Dan",,SenDanSullivan,SenDanSullivan,Republican,republican,ocd-division/country:us/state:ak,Alaska,Senate,116,,,https://theunitedstates.io/images/congress/original/S001198.jpg,male,Q5218668,Q29468,Q797
David Perdue,"Perdue, David",,sendavidperdue,SenatorDavidPerdue,Republican,republican,ocd-division/country:us/state:ga,Georgia,Senate,116,,,https://theunitedstates.io/images/congress/original/P000612.jpg,male,Q17402717,Q29468,Q1428
Deb Fischer,"Fischer, Deb",,SenatorFischer,senatordebfischer,Republican,republican,ocd-division/country:us/state:ne,Nebraska,Senate,116,,,https://theunitedstates.io/images/congress/original/F000463.jpg,female,Q2580649,Q29468,Q1553
Debbie Stabenow,"Stabenow, Debbie",,SenStabenow,SenatorStabenow,Democrat,democrat,ocd-division/country:us/state:mi,Michigan,Senate,116,,,https://theunitedstates.io/images/congress/original/S000770.jpg,female,Q241092,Q29552,Q1166
Dianne Feinstein,"Feinstein, Dianne",,SenFeinstein,senatorfeinstein,Democrat,democrat,ocd-division/country:us/state:ca,California,Senate,116,,,https://theunitedstates.io/images/congress/original/F000062.jpg,female,Q230733,Q29552,Q99
Doug Jones,"Jones, Doug",,sendougjones,senatordougjones,Democrat,democrat,ocd-division/country:us/state:al,Alabama,Senate,116,,,https://theunitedstates.io/images/congress/original/J000300.jpg,male,Q30122825,Q29552,Q173
Edward J. Markey,"Markey, Edward",,SenMarkey,EdJMarkey,Democrat,democrat,ocd-division/country:us/state:ma,Massachusetts,Senate,116,,,https://theunitedstates.io/images/congress/original/M000133.jpg,male,Q1282411,Q29552,Q771
Elizabeth Warren,"Warren, Elizabeth",,SenWarren,senatorelizabethwarren,Democrat,democrat,ocd-division/country:us/state:ma,Massachusetts,Senate,116,,,https://theunitedstates.io/images/congress/original/W000817.jpg,female,Q434706,Q29552,Q771
Gary C. Peters,"Peters, Gary",,SenGaryPeters,SenGaryPeters,Democrat,democrat,ocd-division/country:us/state:mi,Michigan,Senate,116,,,https://theunitedstates.io/images/congress/original/P000595.jpg,male,Q1494930,Q29552,Q1166
Jack Reed,"Reed, John",,SenJackReed,SenJackReed,Democrat,democrat,ocd-division/country:us/state:ri,Rhode Island,Senate,116,,,https://theunitedstates.io/images/congress/original/R000122.jpg,male,Q528979,Q29552,Q1387
Jacky Rosen,"Rosen, Jacky",,SenJackyRosen,RepJackyRosen,Democrat,democrat,ocd-division/country:us/state:nv,Nevada,Senate,116,,,https://theunitedstates.io/images/congress/original/R000608.jpg,female,Q27825033,Q29552,Q1227
James E. Risch,"Risch, James",,SenatorRisch,senatorjimrisch,Republican,republican,ocd-division/country:us/state:id,Idaho,Senate,116,,,https://theunitedstates.io/images/congress/original/R000584.jpg,male,Q721871,Q29468,Q1221
James Lankford,"Lankford, James",,SenatorLankford,SenatorLankford,Republican,republican,ocd-division/country:us/state:ok,Oklahoma,Senate,116,,,https://theunitedstates.io/images/congress/original/L000575.jpg,male,Q45940,Q29468,Q1649
James M. Inhofe,"Inhofe, James",,InhofePress,jiminhofe,Republican,republican,ocd-division/country:us/state:ok,Oklahoma,Senate,116,,,https://theunitedstates.io/images/congress/original/I000024.jpg,male,Q723134,Q29468,Q1649
Jeanne Shaheen,"Shaheen, Jeanne",,SenatorShaheen,SenatorShaheen,Democrat,democrat,ocd-division/country:us/state:nh,New Hampshire,Senate,116,,,https://theunitedstates.io/images/congress/original/S001181.jpg,female,Q270316,Q29552,Q759
Jeff Merkley,"Merkley, Jeff",,SenJeffMerkley,jeffmerkley,Democrat,democrat,ocd-division/country:us/state:or,Oregon,Senate,116,,,https://theunitedstates.io/images/congress/original/M001176.jpg,male,Q1368405,Q29552,Q824
Jerry Moran,"Moran, Jerry",,JerryMoran,jerrymoran,Republican,republican,ocd-division/country:us/state:ks,Kansas,Senate,116,,,https://theunitedstates.io/images/congress/original/M000934.jpg,male,Q1365787,Q29468,Q1558
"Joe Manchin, III","Manchin, Joe",,Sen_JoeManchin,JoeManchinIII,Democrat,democrat,ocd-division/country:us/state:wv,West Virginia,Senate,116,,,https://theunitedstates.io/images/congress/original/M001183.jpg,male,Q538868,Q29552,Q1371
John Barrasso,"Barrasso, John",,SenJohnBarrasso,johnbarrasso,Republican,republican,ocd-division/country:us/state:wy,Wyoming,Senate,116,,,https://theunitedstates.io/images/congress/original/B001261.jpg,male,Q720521,Q29468,Q1214
John Boozman,"Boozman, John",,JohnBoozman,JohnBoozman,Republican,republican,ocd-division/country:us/state:ar,Arkansas,Senate,116,,,https://theunitedstates.io/images/congress/original/B001236.jpg,male,Q1344707,Q29468,Q1612
John Cornyn,"Cornyn, John",,JohnCornyn,sen.johncornyn,Republican,republican,ocd-division/country:us/state:tx,Texas,Senate,116,,,https://theunitedstates.io/images/congress/original/C001056.jpg,male,Q719568,Q29468,Q1439
John Hoeven,"Hoeven, John",,SenJohnHoeven,SenatorJohnHoeven,Republican,republican,ocd-division/country:us/state:nd,North Dakota,Senate,116,,,https://theunitedstates.io/images/congress/original/H001061.jpg,male,Q374762,Q29468,Q1207
John Kennedy,"Kennedy, John",,SenJohnKennedy,JohnKennedyLouisiana,Republican,republican,ocd-division/country:us/state:la,Louisiana,Senate,116,,,https://theunitedstates.io/images/congress/original/K000393.jpg,male,Q6250211,Q29468,Q1588
John Thune,"Thune, John",,SenJohnThune,johnthune,Republican,republican,ocd-division/country:us/state:sd,South Dakota,Senate,116,,,https://theunitedstates.io/images/congress/original/T000250.jpg,male,Q462981,Q29468,Q1211
Johnny Isakson,"Isakson, John",,SenatorIsakson,,Republican,republican,ocd-division/country:us/state:ga,Georgia,Senate,116,,,https://theunitedstates.io/images/congress/original/I000055.jpg,male,Q130024,Q29468,Q1428
Jon Tester,"Tester, Jon",,SenatorTester,senatortester,Democrat,democrat,ocd-division/country:us/state:mt,Montana,Senate,116,,,https://theunitedstates.io/images/congress/original/T000464.jpg,male,Q529351,Q29552,Q1212
Joni Ernst,"Ernst, Joni",,SenJoniErnst,senjoniernst,Republican,republican,ocd-division/country:us/state:ia,Iowa,Senate,116,,,https://theunitedstates.io/images/congress/original/E000295.jpg,female,Q13475242,Q29468,Q1546
Josh Hawley,"Hawley, Joshua",,SenHawleyPress,,Republican,republican,ocd-division/country:us/state:mo,Missouri,Senate,116,,,https://theunitedstates.io/images/congress/original/H001089.jpg,male,Q23020745,Q29468,Q1581
Kamala D. Harris,"Harris, Kamala",,SenKamalaHarris,SenatorKamalaHarris,Democrat,democrat,ocd-division/country:us/state:ca,California,Senate,116,,,https://theunitedstates.io/images/congress/original/H001075.jpg,female,Q10853588,Q29552,Q99
